IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childD	familyX	founder10	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688707	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder11	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687937	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder12	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689337	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder13	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688337	0.0730	1.6184	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder14	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687831	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder15	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.686852	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder16	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688619	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder17	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688306	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder18	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688267	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder19	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689779	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5295	0.4705	0.0000	0.2352	-1	0.746097	0.9971	3.1458	8	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder20	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687622	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder21	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687291	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder22	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687967	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder23	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687107	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder24	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688429	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder25	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687087	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder26	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688446	0.9399	2.5536	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder27	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687512	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder28	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687597	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder29	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687642	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687619	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder3	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.802006	1.0000	98.5000	8	no_deam	PO	1	plink_Lcmlkin
childD	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689427	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder5	OT	0	0.9790	0.0210	0.0000	0.0105	-1	0.690059	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder6	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689754	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder7	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688502	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder8	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689277	0.0544	1.5844	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	founder9	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689604	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	childF	OT	0	0.2519	0.5116	0.2365	0.4923	-1	0.823478	1.0000	18.9000	8	no_deam	FS	1	plink_Lcmlkin
childE	familyX	childG	OT	0	0.8927	0.1073	0.0000	0.0536	-1	0.701532	0.8296	2.3167	8	no_deam	HC	4	plink_Lcmlkin
childE	familyX	childH	OT	0	0.0077	0.8766	0.1157	0.5540	-1	0.827760	1.0000	NA	8	no_deam	PO	plink_Lcmlkin
childE	familyX	childI	OT	0	0.0067	0.7554	0.2379	0.6156	-1	0.851545	1.0000	65.3333	8	no_deam	PO	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.5082	0.4918	0.0000	0.2459	-1	0.746960	1.0000	5.2188	8	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder10	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687665	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder11	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688115	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder12	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688620	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder13	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687365	0.8949	2.4310	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder14	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688194	0.0730	1.6184	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder15	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687305	0.6919	2.1587	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder16	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688057	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder17	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688934	0.0137	1.4568	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder18	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688885	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder19	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688562	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.5091	0.4909	0.0000	0.2455	-1	0.746060	1.0000	5.0303	8	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder20	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689270	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder21	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688054	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childE	familyX	founder22	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687945	0.5200	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
