a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.803203	1.0		10	deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.805015	1.0		10	deam	PO	1	plink	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804526	1.0		10	deam	PO	1	plink	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.804047	1.0		10	deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.800995	1.0		8	no_deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0087	0.8774	0.1139	0.5526	-1	0.827377	1.0		8	no_deam	PO	1	plink	0.09674650725822959
childA	familyX	founder0	OT	0	0.0116	0.9884	0.0	0.4942	-1	0.803325	1.0	198.0	8	no_deam	PO	1	plink	0.009471360338761644
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802455	1.0	98.5	8	no_deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.802914	1.0	198.0	8	no_deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.802656	1.0		8	no_deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.802924	1.0	198.0	8	no_deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802029	1.0		8	no_deam	PO	1	plink	0.0
childC	familyX	childG	OT	0	0.009	0.991	0.0	0.4955	-1	0.803609	1.0	198.0	8	no_deam	PO	1	plink	0.007348469228349537
childC	familyX	founder1	OT	0	0.0112	0.9888	0.0	0.4944	-1	0.803164	1.0		8	no_deam	PO	1	plink	0.009144761706390527
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802274	1.0	198.0	8	no_deam	PO	1	plink	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802227	1.0	198.0	8	no_deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0094	0.9906	0.0	0.4953	-1	0.804007	1.0		8	no_deam	PO	1	plink	0.00767506786072061
childF	familyX	founder4	OT	0	0.0096	0.9904	0.0	0.4952	-1	0.803464	1.0		8	no_deam	PO	1	plink	0.007838367176906192
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.802994	1.0	198.0	8	no_deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.1367	0.8606	0.0027	0.433	-1	0.792966	1.0	17.0909	4	no_deam	PO	1	plink	0.11273352059909539
childA	familyX	childH	OT	0	0.1199	0.7569	0.1232	0.5017	-1	0.818023	1.0	27.4286	4	no_deam	PO	1	plink	0.17190293772940587
