IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childG	familyX	founder2	OT	0	0.5126	0.4874	0.0000	0.2437	-1	0.746405	1.0000	7.6522	8	deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6731	0.2883	0.0386	0.1827	-1	0.737245	1.0000	4.5278	8	deam	GP	2	plink
childB	familyX	childI	OT	0	0.4369	0.4006	0.1625	0.3628	-1	0.787730	0.9998	3.6279	4	deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5157	0.4843	0.0000	0.2421	-1	0.745738	1.0000	4.2368	4	deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5237	0.4748	0.0015	0.2389	-1	0.746604	0.9954	3.0612	4	deam	GP	2	plink
childE	familyX	founder0	OT	0	0.5065	0.4935	0.0000	0.2467	-1	0.747152	1.0000	4.3784	4	deam	GP	2	plink
childE	familyX	founder1	OT	0	0.5124	0.4876	0.0000	0.2438	-1	0.746512	1.0000	3.9750	4	deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5119	0.4881	0.0000	0.2441	-1	0.746208	1.0000	4.6857	4	deam	GP	2	plink
childF	familyX	founder1	OT	0	0.5094	0.4906	0.0000	0.2453	-1	0.745606	1.0000	4.6857	4	deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5154	0.4846	0.0000	0.2423	-1	0.746554	1.0000	6.1071	4	deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5284	0.4716	0.0000	0.2358	-1	0.745469	1.0000	7.6522	4	deam	GP	2	plink
