a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childD	founder3	0.6629	0.2083	0.1288	1	no_deam	PO	1	plink	0.6007813634481903
childE	founder4	0.6645	0.1936	0.1419	1	no_deam	PO	1	plink	0.6088176574311885
childF	founder4	0.6168	0.2617	0.1215	1	no_deam	PO	1	plink	0.5598486045351904
childG	founder5	0.6621	0.1996	0.1382	1	no_deam	PO	1	plink	0.6050112423197881
childA	childD	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childA	childH	0.0	0.8874	0.1126	20	no_deam	PO	1	plink	0.0919375150124619
childA	founder0	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childA	founder1	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childB	childE	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childB	childF	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childB	founder0	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childB	founder1	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childC	childG	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childC	founder1	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childC	founder2	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childD	founder3	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childE	founder4	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childF	founder4	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childG	founder5	0.0	1.0	0.0	20	no_deam	PO	1	plink	0.0
childA	childD	0.4381	0.4913	0.0706	2	no_deam	PO	1	plink	0.3897399389336432
childA	childH	0.3966	0.4313	0.1721	2	no_deam	PO	1	plink	0.4124437981915435
childA	founder0	0.4137	0.5165	0.0698	2	no_deam	PO	1	plink	0.3695907556563972
childA	founder1	0.4321	0.4898	0.0781	2	no_deam	PO	1	plink	0.3886361022859302
childB	childE	0.4269	0.5035	0.0696	2	no_deam	PO	1	plink	0.3801754068847695
childB	childF	0.4177	0.5135	0.0688	2	no_deam	PO	1	plink	0.3723300417640242
childB	founder0	0.4266	0.5044	0.069	2	no_deam	PO	1	plink	0.3796348772175707
childB	founder1	0.4327	0.4947	0.0726	2	no_deam	PO	1	plink	0.386362584454896
childC	childG	0.4292	0.4936	0.0771	2	no_deam	PO	1	plink	0.3858315737900843
childC	founder1	0.4335	0.4918	0.0747	2	no_deam	PO	1	plink	0.3880590934380999
childC	founder2	0.4317	0.4934	0.0748	2	no_deam	PO	1	plink	0.386696905426804
childD	founder3	0.44	0.484	0.076	2	no_deam	PO	1	plink	0.3939678497881098
childE	founder4	0.4362	0.4843	0.0796	2	no_deam	PO	1	plink	0.39266316778294
childF	founder4	0.4329	0.4912	0.0759	2	no_deam	PO	1	plink	0.3881755015453705
childG	founder5	0.4208	0.5129	0.0663	2	no_deam	PO	1	plink	0.3736017219803285
childA	childD	0.0	1.0	0.0	10	no_deam	PO	1	plink	0.0
childA	childH	0.0024	0.8853	0.1124	10	no_deam	PO	1	plink	0.0927282948547349
childA	founder0	0.0	1.0	0.0	10	no_deam	PO	1	plink	0.0
childA	founder1	0.0	1.0	0.0	10	no_deam	PO	1	plink	0.0
childB	childE	0.0	1.0	0.0	10	no_deam	PO	1	plink	0.0
childB	childF	0.0	1.0	0.0	10	no_deam	PO	1	plink	0.0
childB	founder0	0.0	1.0	0.0	10	no_deam	PO	1	plink	0.0
